"","Date","Lat","Lon","Dep","M"
"367","2/17/2018",-7.1,106.17,10,4.1
"368","2/17/2018",-8.84,110.96,48,5
"369","2/17/2018",-8.89,111.48,29,3.5
"370","2/16/2018",-7.75,105.93,30,3.9
"371","2/16/2018",-7.81,105.86,10,4.6
"372","2/16/2018",-7.87,106.45,49,5
"373","2/16/2018",-7.72,106.32,64,3.8
"374","2/16/2018",-7.81,105.85,10,5.1
"375","2/16/2018",-6.26,107.55,144,4.2
"376","2/16/2018",-7.81,105.93,10,3.8
"377","2/15/2018",-7.05,106.48,129,3.6
"378","2/14/2018",-7.25,106.06,33,3.7
"379","2/14/2018",-7.18,106.88,10,3.5
"380","2/13/2018",-8.34,108.12,24,3.6
"381","2/12/2018",-7.03,106.17,11,3.1
"382","2/11/2018",-6.86,108.43,255,4.5
"383","2/11/2018",-7.16,106.06,32,3.1
"384","2/11/2018",-8.73,111.6,17,3.7
"385","2/11/2018",-7.17,105.96,29,3.5
"386","2/10/2018",-8.92,110.36,10,3.6
"387","2/10/2018",-7.47,106.35,26,3.5
"388","2/9/2018",-8.77,111.81,43,3.6
"389","2/8/2018",-8.31,110.33,75,3.4
"390","2/8/2018",-8.88,112.5,38,3.4
"391","2/7/2018",-7.59,106.68,23,3.9
"392","2/5/2018",-5.26,106.07,280,4.2
"393","2/4/2018",-8.45,108.43,19,3.3
"394","2/4/2018",-8.66,109.94,13,3.1
"395","2/4/2018",-8.87,112.58,69,3.2
"396","2/3/2018",-7.26,105.95,10,4.5
"397","2/3/2018",-7.07,106.46,35,3.1
"398","2/1/2018",-7.8,106.46,14,4
"399","1/31/2018",-8.54,114,10,3.1
"400","1/30/2018",-7.94,107,28,3.5
"401","1/30/2018",-7.2,106.23,25,3
"402","1/29/2018",-7.69,112.59,182,3.4
"403","1/28/2018",-7.01,106.2,19,3.1
"404","1/28/2018",-7.86,106.16,10,3.3
"405","1/27/2018",-7.63,108.99,175,3.7
"406","1/27/2018",-7.13,106.06,21,3.8
"407","1/26/2018",-7.25,105.9,10,3.5
"408","1/26/2018",-7.37,106.9,96,3
"409","1/26/2018",-7.19,106.04,30,5
"410","1/26/2018",-7.19,106.05,30,5.2
"411","1/25/2018",-7.11,106.08,19,3.3
"412","1/24/2018",-7.57,105.52,58,3
"413","1/24/2018",-7.13,106.12,47,3
"414","1/24/2018",-7.23,106.08,27,4
"415","1/24/2018",-7.16,106.01,17,3.4
"416","1/24/2018",-7.21,105.99,46,4.9
"417","1/24/2018",-7.23,105.98,11,4.4
"418","1/23/2018",-7.25,106.01,19,3.2
"419","1/23/2018",-7.18,106.04,31,3.7
"420","1/23/2018",-7.21,106.05,39,3.5
"421","1/23/2018",-7.03,106.13,28,3.3
"422","1/23/2018",-7.16,106.1,21,3.6
"423","1/23/2018",-7.22,106.11,25,4.2
"424","1/23/2018",-7.14,106.08,32,3
"425","1/23/2018",-7.16,106.05,32,3.8
"426","1/23/2018",-7.21,106.08,41,4.2
"427","1/23/2018",-7.13,106.15,33,3
"428","1/23/2018",-7.22,106.05,29,3.6
"429","1/23/2018",-7.21,106.12,33,4.1
"430","1/23/2018",-8.97,111.16,10,4.4
"431","1/23/2018",-7.27,106.09,32,3.7
"432","1/23/2018",-7.25,106.12,32,3.4
"433","1/23/2018",-7.24,106.09,37,4.1
"434","1/23/2018",-7.23,106.09,28,4
"435","1/23/2018",-7.19,106.08,21,3.2
"436","1/23/2018",-7.17,106.13,28,3.3
"437","1/23/2018",-7.22,106.12,27,4.3
"438","1/23/2018",-7.2,106.11,32,4.8
"439","1/23/2018",-7.19,105.98,19,3.8
"440","1/23/2018",-7.13,106.14,22,3.5
"441","1/23/2018",-7.23,106.01,19,3.1
"442","1/23/2018",-7.06,105.95,27,3
"443","1/23/2018",-7.26,105.98,33,3.2
"444","1/23/2018",-7.11,106.07,28,3.5
"445","1/23/2018",-7.16,106.01,20,4.3
"446","1/23/2018",-7.21,106.08,19,4.1
"447","1/23/2018",-7.07,106.21,28,3.3
"448","1/23/2018",-7.13,106.12,29,3.7
"449","1/23/2018",-7.16,106.09,23,4
"450","1/23/2018",-7.26,106.26,20,4.4
"451","1/23/2018",-7.13,106.04,46,6.1
"452","1/21/2018",-7.97,106.58,10,3.6
"453","1/20/2018",-7.38,107.19,98,3.7
"454","1/18/2018",-8.51,108.82,53,3.3
"455","1/18/2018",-7.29,106.6,170,3.1
"456","1/16/2018",-7.66,106.72,27,3.4
"457","1/15/2018",-7.86,105.93,10,3.4
"458","1/14/2018",-8.43,111.58,14,3.2
"459","1/13/2018",-7.85,107.3,27,3.7
"460","1/13/2018",-8.32,109.03,29,3.4
"461","1/11/2018",-7.25,106.8,84,3.8
"462","1/10/2018",-8.91,109.11,26,4.5
"463","1/10/2018",-7.04,105.75,48,3.8
"464","1/10/2018",-7.75,106.64,59,3
"465","1/8/2018",-8.46,108.44,21,3.7
"466","1/6/2018",-8.43,107.57,11,3.9
"467","1/6/2018",-8.95,110.41,30,3.9
"468","1/5/2018",-8.8,111.07,10,3.5
"469","1/3/2018",-8.73,110.27,27,3.2
"470","1/3/2018",-8.28,110.6,25,3.3
"471","1/3/2018",-7.36,106.84,110,3.3
"472","1/1/2018",-6.9,106.83,10,3.3
