Kodekec;pengeluaran_perkapita;PT_N;JumlahPondok;JumlahMontir;JumlahBAsing;JumlahPoskesdes;R1206EK2;var;ntl.18;ntl.19;ntl.20;ntl.21;lst_mean;lst_median;lst.celcius;ycap.1;ycap.2;ycap.3b;ycap.4b;ycap.6b
3204110;1056846,78;0;50;0;1;7;41;11987714188;3,618783908;3,939766141;4,091156963;4,714036704;15210,47318;15200,87426;30,867;1074648,715;1041051,73;1050117,661;1041819,95;1052582,244
3204120;695825,5087;0;135;0;2;9;21;2506519812;4,299361147;4,480426402;4,500027481;4,722144836;15240,90373;15234,33333;31,537;702462,1185;711780,323;707640,8893;712680,9785;710020,0739
3204121;1358322,379;0;24;0;1;1;10;25311415733;2,876337034;3,104096185;3,340148255;3,674487221;15216,98175;15206,05709;30,971;1256607,045;1212475,381;1271485,78;1214814,732;1218884,031
3204130;898138,019;0;185;0;4;9;31;20295121683;2,044992032;2,249365766;2,389663992;2,595529438;15149,5884;15145,60424;29,762;893773,9292;896367,2295;903980,8765;895677,3969;889039,5002
3204140;1233858,119;0;68;2;3;6;39;19193553625;4,65993747;5,159664647;5,310782893;6,015846659;15230,23472;15220,9781;31,270;1220689,122;1176826,865;1193810,601;1177210,138;1191167,765
3204150;475303,7697;0;88;2;1;10;5;3137188940;1,401493918;1,576365413;1,720196559;1,95103958;15109,76411;15093,56601;28,721;492319,8551;498861,8952;490349,047;498368,2991;497847,5132
3204160;1281429,147;0;93;2;0;4;21;10160387077;2,450234749;2,651207285;2,775166151;2,997524864;15089,83648;15124,33333;29,337;1228518,851;1216967,252;1234838,181;1213633,447;1211113,621
3204161;760283,9172;0;34;0;0;5;10;13969900217;3,022118944;3,368392725;3,627348144;3,883798365;15138,03485;15157;29,990;798067,5509;802264,3244;789078,3231;801672,2875;803052,7164
3204170;913000,7474;0;29;0;0;3;9;20446327198;3,778156918;4,811553039;5,205069904;5,770220371;15210,74414;15203,83333;30,927;928608,1609;935177,7917;934500,2161;936989,0298;935804,83
3204180;790217,8622;0;63;0;0;9;20;8480987613;6,450684466;7,002030467;7,483087311;8,252500455;15267,44005;15263,08333;32,112;808084,054;841958,2186;822072,794;843703,2354;834150,3672
3204190;798402,9526;0;63;1;4;11;26;13211133750;5,654604537;5,989740169;6,450376656;6,875665732;15135,16901;15125,83333;29,367;848812,5386;861530,8683;813075,6388;854717,0683;856433,24
3204191;1062258,649;0;38;1;0;9;9;18167617224;3,325976668;3,257430359;2,885280076;3,212942977;15071,01153;15051,1;27,872;1020356,084;1034660,835;1007595,879;1021949,933;1011518,509
3204250;1264226,191;0;24;0;1;1;29;23376151301;9,917214962;10,40201518;9,737710715;10,05489293;15301,8663;15290;32,650;1239162,027;1283352,557;1235027,554;1279941,893;1271814,388
3204260;1806305,204;2;17;1;1;1;33;20445118039;10,35082805;11,40172955;11,74125999;12,82295568;15423,12041;15408,25;35,015;1705718,132;1668221,25;1701401,304;1674161,36;1694228,595
3204270;3680313,785;0;21;20;0;3;36;1,02283E+12;10,79411729;11,48665664;11,72682449;12,50480094;15414,68642;15400,66667;34,863;1436472,952;1473221,577;1469013,264;1490584,942;1547048,856
3204280;1195980,846;0;9;0;0;5;23;40141570153;5,88418371;6,66246989;6,881152788;7,531032904;15238,22075;15229;31,430;1152356,57;1153031,101;1145023,98;1151588,6;1148694,722
3204290;1440565,228;1;75;3;2;4;37;22209930903;5,895995227;6,651504898;7,031342572;8,128362934;15255,42515;15261,24446;32,075;1388392,043;1333206,196;1362051,321;1334530,162;1357760,208
3204300;1795468,431;0;22;8;1;5;6;19878679827;1,443724038;1,553315167;1,818628775;2,035451576;14956,20301;14889;24,630;1588132,492;1520095,665;1530949,692;1490569,329;1500859,972
3204310;1207340,555;0;18;0;0;10;13;24251492732;3,037390439;3,213982009;3,671607684;4,04675021;15107,64834;15093,875;28,728;1126851,731;1119399,017;1118989,278;1108897,83;1098478,608
3205010;989968,1654;0;42;0;0;8;1;23655994275;0,26305827;0,228603625;0,273651534;0,334787709;14920,11769;14961,47357;26,079;941837,4736;925274,962;907780,0833;906932,6692;902803,713
3205011;1294425,653;0;19;0;0;0;3;1,24494E+11;0,282060076;0,266694229;0,326407452;0,386877232;15060,17875;15085,58538;28,562;1074113,942;933973,1053;1007139,995;924883,9278;962492,0189
3205020;626988,4722;0;75;0;0;3;0;20342411826;0,259639609;0,234973171;0,309759565;0,34799037;14893,23495;14907,33333;24,997;677877,3492;677113,8063;614313,5603;656508,8201;662388,8208
3205030;1019961,508;0;50;0;0;5;3;15695079640;0,308975993;0,278686289;0,345934842;0,376367867;14969,05141;15013,5;27,120;985137,7453;964844,6318;968984,9412;955311,8036;955205,9541
3205031;932971,0731;0;5;0;0;2;0;10831111977;0,34459967;0,315022854;0,37073619;0,38699433;15141,63667;15145,46483;29,759;937169,2153;908232,4556;931984,233;909752,4947;917171,7178
3205050;810616,5163;0;96;0;0;13;1;6740691016;0,31673212;0,286665955;0,369575493;0,388725893;15024,53063;15026,78252;27,386;795576,5266;809025,2947;805345,9614;805214,6348;795034,0838
3205060;612829,6343;0;54;0;1;3;1;3901574741;0,303193937;0,282954087;0,348438644;0,371895117;15079,90853;15105,13538;28,953;631125,948;626757,142;625373,3924;626784,3669;629834,9994
3205070;825031,8943;0;25;0;1;1;6;26095675706;0,622423389;0,673400553;0,74537372;0,802587608;15138,90899;15138,56803;29,621;882521,234;821296,868;848347,3242;823364,4973;846300,1404
3205080;883545,859;0;22;0;0;6;2;4520767413;0,302945652;0,280835446;0,353792488;0,356668979;15077,88576;15096,41667;28,778;884604,4164;876054,3458;881717,6662;875371,1349;876521,4966
3205090;1136239,606;0;45;8;0;6;2;22641297816;0,326033858;0,294265973;0,357963516;0,386073602;15020,68623;15057,39465;27,998;1068486,146;1027453,042;1056204,088;1019514,604;1030747,347
3205100;1107420,287;0;56;0;0;4;5;46450001576;0,363319918;0,329418346;0,398376097;0,408361885;14949,08805;14956,6025;25,982;1002380,697;955901,4737;928530,3137;927241,1564;933562,3945
3205110;830026,0522;0;107;0;0;3;0;6712838879;0,474574825;0,439621483;0,546060172;0,543226159;14948,09854;14970,16667;26,253;821846,6327;827110,1035;816143,5652;820714,4429;817563,6116
3205120;785807,3525;0;100;0;0;6;16;3852032712;0,481188812;0,460232489;0,552517285;0,603986512;14896,84122;14886,75754;24,585;790449,4423;787372,4374;773568,6257;781385,1611;782646,8755
3205130;741280,0185;0;77;0;0;5;1;21786641894;0,379714819;0,348450014;0,455116176;0,457981836;14876,5446;14898,27579;24,816;757125,1508;760069,9357;698955,0137;736702,8984;736601,7389
3205140;843697,2774;0;62;0;0;6;9;7295296357;0,808644026;0,843511142;0,951535897;1,000197498;14934,20984;14962,33616;26,097;847387,1455;841169,9609;826448,8934;833611,802;835009,1417
3205150;1198935,013;0;136;0;0;11;6;24815807022;1,043464478;1,119577873;1,327467381;1,453374952;15027,07298;15030,5124;27,460;1030480,441;1075236,562;1087375,471;1061718,191;1022940,237
3205151;696062,1955;0;59;0;0;2;2;11479031795;0,669838837;0,657905196;0,783483402;0,931080258;14969,40028;14986,85127;26,587;726425,1885;719533,2186;694882,6633;710810,4291;716622,6021
3205160;462534,0136;0;124;3;1;12;11;1560873770;0,582646385;0,55454613;0,662116478;0,750299624;14888,02916;14939;25,630;470535,3316;473616,962;465674,4583;471840,1511;471754,7223
3205170;635229,5273;0;104;2;0;7;13;2898542705;0,844048376;0,86908447;0,957624732;1,023109654;14949,36185;14980,34149;26,457;644879,7043;646191,4964;636812,5725;643502,5329;644281,182
3205171;777094,8254;0;95;0;0;1;2;6544518756;0,947048897;1,030851595;0,983079335;1,042750716;14978,41139;15021,10517;27,272;781109,9139;783744,4886;773985,9281;779371,9322;779164,3266
3205181;1989647,053;7;39;1;1;3;37;1,11312E+11;4,691140074;5,029163073;5,173832268;5,490949888;15152,67066;15145,5;29,760;1940020,987;1322627,544;1351804,029;1303159,798;1608727,375
3205182;1065075,778;0;94;0;1;7;20;32401953064;1,789794837;1,8734067;1,914518281;2,017554121;15033,59705;15054,66667;27,943;1008864,557;989505,4965;981341,954;975731,3059;973292,3364
3205190;735633,5303;0;14;1;0;0;30;2347490621;2,838225624;2,954877926;3,108854014;3,387678914;15071,57028;15057,33333;27,997;754573,4054;745011,08;737386,671;743371,7435;749815,7048
3205200;787076,4258;0;91;0;0;7;9;7953758412;1,682376151;1,78543701;2,061704088;2,321249137;15101,76859;15142,12536;29,693;789900,6892;799269,5038;799926,8175;799385,8959;794250,2443
3205210;978060,2132;0;77;0;0;9;4;43713249077;1,410196032;1,610584133;1,659660063;1,909678249;15134,60943;15147,4;29,798;888424,6075;920416,1817;959578,0992;921293,6728;892427,2186
3205211;707501,0505;0;55;0;0;2;3;3797978698;0,767906202;0,829431289;0,929424402;1,034602635;15041,94564;15046,98631;27,790;719100,8243;715976,6218;710896,9469;714154,3314;716465,6369
3205212;802901,3232;0;94;0;0;6;4;19262508716;1,053897006;1,137420355;1,205788643;1,411875273;15084,83787;15116,25;29,175;796116,9307;813011,8197;819032,724;811733,1581;800771,1495
3205220;619571,831;0;100;1;1;9;4;1808759761;0,855885797;0,943189033;1,106315371;1,240804851;15059,31306;15084,66667;28,543;624201,5571;627158,6352;624658,2618;626782,0993;625862,9946
3205230;829290,6048;0;103;0;0;12;7;11040674906;1,270947713;1,345610882;1,510376807;1,693499036;15174,9437;15166,52738;30,181;810402,8809;833165,9363;845760,3571;835270,2712;819419,8346
3205240;1566949,723;0;98;0;1;7;5;59902875279;0,941174394;1,09831794;1,17850049;1,216257639;15006,30364;15004,82754;26,947;1162716,948;1157731,221;1186708,804;1130319,641;1100453,591
3205250;729392,0656;0;57;0;0;5;3;4869728486;1,157109851;1,254475792;1,385907529;1,57371786;15169,96452;15152;29,890;739215,1613;739980,0635;742017,3968;740799,1816;740413,4777
3205260;658882,9511;0;99;0;3;3;4;2527225323;1,115362234;1,32563656;1,363463611;1,540826848;15133,21183;15160,37205;30,057;668564,4781;668067,1136;668362,1605;668748,3262;669786,4946
3205261;667914,6837;0;60;0;0;4;3;15955934014;1,08690159;1,278009005;1,273419557;1,451301536;15076,36534;15091;28,670;710111,555;711013,3744;698906,1206;708185,0533;710145,2936
3205270;601479,7088;0;79;0;0;5;2;1253024481;0,976685014;1,101947268;1,156830645;1,289823647;15178,37138;15153,26975;29,915;605926,8719;607427,2428;607032,5988;607765,8665;607527,7057
3205280;1004097,444;0;77;2;2;8;0;14813991136;1,373756097;1,444436685;1,604808341;1,793468879;15098,30745;15090;28,650;965276,9724;968889,3158;977190,661;964424,4838;956516,5096
3205290;901076,9405;0;108;8;2;5;8;6014459330;0,773092133;0,833439146;0,925339767;1,039899767;15068,60756;15082,5;28,500;900399,7505;892301,0434;895818,3885;890502,2524;895054,544
3205300;775501,727;0;86;0;0;2;2;6772804293;0,601096556;0,606738153;0,707655923;0,82306979;15079,82213;15089;28,630;780470,5426;780202,0513;780921,4106;778914,0729;778707,431
3205310;716380,9339;0;130;0;0;8;6;4985739969;0,813265529;0,851157244;0,925118589;1,035105409;15030,56699;15057,58383;28,002;715181,4241;726650,491;721212,8264;724613,5435;719037,0467
3206010;635723,8496;0;140;11;0;8;5;4532651420;0,399695088;0,399142796;0,444605072;0,495304917;15051,81245;15066,26113;28,175;643998,1324;650179,4543;645518,4994;648941,1556;650020,1102
3206020;531576,0756;0;136;28;1;15;10;4242258629;0,657857887;0,763451782;0,743668486;0,776577037;15055,97477;15066,2789;28,176;554056,4215;554839,735;546393,8843;553703,1976;562587,1005
3206030;669576,6991;0;217;0;2;8;8;2239110711;0,480762934;0,530421004;0,564036024;0,63243257;15044,6588;15052,1686;27,893;667061,7816;675726,4019;672953,965;674818,8045;670881,8754
3206040;1097150,419;0;127;0;0;9;3;9903883221;0,479783126;0,511210673;0,525663631;0,558004406;15052,14876;15060;28,050;1032486,773;1047207,178;1061902,704;1042869,738;1026070,711
3206050;592315,919;0;150;3;0;10;5;1620699414;0,509437746;0,540628534;0,546619993;0,594547231;15047,48502;15052,07517;27,892;594064,0664;599413,3848;596423,6311;598793,5328;596950,0914
3206060;606529,8346;0;67;0;0;17;1;4611315863;0,577927219;0,626484494;0,633872124;0,677838384;15033,52008;15038,27233;27,615;612500,3265;624646,3605;615738,0098;622477,1107;615886,1876
3206061;648369,083;0;113;2;0;12;3;7637486219;0,77283496;0,805951687;0,804907403;0,840672581;15058,06875;15069,25061;28,235;652186,9835;672428,94;663489,3408;670212,4963;661294,3923
3206070;1273106,893;0;90;0;0;6;0;38141446288;0,638196274;0,722905552;0,695210358;0,671896574;15003,67955;15014;27,130;1060353,26;1069701,808;1088415,317;1050845,243;1025463,664
3206071;938631,5928;0;61;0;0;2;0;52555949296;0,569948259;0,605465413;0,616166248;0,623216926;15010,04977;15018,5;27,220;896647,3233;872039,406;854242,1762;853018,7025;857353,3978
3206072;929450,2284;0;79;0;0;3;0;32102105788;0,345438847;0,369549122;0,421114136;0,435648503;14985,96489;14992,5;26,700;884567,3008;877107,0504;859020,4943;859389,4628;856281,8134
3206080;636637,6385;0;159;0;0;5;0;17356130123;0,395618759;0,386223292;0,440237364;0,431618564;14998,9191;14998,65222;26,823;636172,8032;680775,8023;649551,7691;670568,6546;653549,0366
3206090;781181,1791;0;223;3;0;6;0;1614576878;0,634654161;0,700007864;0,705039382;0,728643117;14995,39867;14991;26,670;773770,9944;782292,9889;779318,8434;780827,2729;777086,2082
3206100;691373,0974;0;134;0;0;4;2;10526623435;0,536903644;0,608188637;0,62670116;0,627644213;14951,32352;14957,17181;25,993;694065,8293;712783,2597;685343,4845;702966,7387;696601,9069
3206110;413824,8891;0;127;3;0;11;3;671960129,3;0,59351344;0,60292662;0,663088792;0,656082449;14918,47383;14932,81803;25,506;416926,5329;419368,7289;415545,6514;418574,3792;418176,8157
3206111;522888,2987;0;86;0;0;5;0;3810780757;0,535493958;0,568662879;0,637541086;0,63497516;14958,8746;14994,32394;26,736;539079,2633;544108,9366;531438,0435;541301,3475;541335,1653
3206120;736683,5123;0;134;0;0;1;0;29495033660;1,03763296;1,074020704;1,12638147;1,130875363;15045,84729;15057,27469;27,995;732950,7911;775074,5266;752634,316;765929,9215;751442,2243
3206130;557161,1505;0;112;0;0;6;7;8316012144;0,910499612;0,984053994;1,004696091;1,030535699;15077,00684;15084;28,530;584564,4346;597698,9908;584878,9759;596177,926;593305,7372
3206140;660206,0663;0;138;0;0;5;4;8125855760;0,571221535;0,601745381;0,645050903;0,682527342;15002,0898;15023,16689;27,313;665944,8616;682253,773;668228,3974;677743,0833;671770,9459
